source_class,category,question,answer,authority,valid_until,owner,notes
official,سیاست‌های آکادمی,برای ترید فیلترشکن لازمه؟,پاسخ به این پرسش دو بخش دارد و نباید با هم قاطی شود. ۱) برای باز کردن وب‌سایت و کابین معاملاتی بروکر، ممکن است به فیلترشکن نیاز داشته باشید. نوع فیلترشکن اهمیتی ندارد و لازم نیست IP ثابت باشد — برخلاف چیزی که کاربران ارز دیجیتال به آن عادت دارند. ۲) برای اتصال پلتفرم متاتریدر به سرور بروکر و انجام معامله، فیلترشکن لازم نیست. بنابراین جمله‌ی «برای ترید کردن باید فیلترشکن روشن باشد» درست نیست.,fact,,مالک پروژه,منبع: ACA-CLR-0001 | دسترسی به سایت بروکر به شرایط شبکه‌ی کاربر بستگی دارد و ممکن است تغییر کند. | تعارض: CONF-0003
official,سیاست‌های آکادمی,سه اصل بازار از نظر آکادمی چیه؟,پاسخ رسمی و واحد: «سه اصل بازار» یا «سه چرخه‌ی بازار» در متدولوژی آکادمی عبارت‌اند از اسپایک (Spike)، کانال قیمتی (Channel) و تریدینگ رنج (Trading Range). این سه مدام در بازار تکرار می‌شوند و ترتیبشان چنین است: اسپایک شروع‌کننده‌ی روند است، کانال پس از اولین اصلاح شکل می‌گیرد و تریدینگ رنج چرخه‌ی آخر است؛ سپس دوباره از اسپایک آغاز می‌شود. روش معامله در هرکدام فرق می‌کند: در اسپایک فقط یک‌طرفه، در کانال دوطرفه اما مایل به جهت کانال، و در رنج خرید در کف و فروش در سقف. در جلسه‌ی اول دوره فهرست دیگری هم بیان شده بود (کانال قیمتی، نقدینگی، خرید و فروش در سایکل)؛ آن فهرست سه محور نگاه مدرس به بازار است و «سه اصل بازار» نیست.,guidance,,مالک پروژه,منبع: ACA-CLR-0002 | تعارض: CONF-0002
official,سیاست‌های آکادمی,بریک ایون یعنی چی؟,«بریک‌ایون» و «الگوی V» در دوره‌ی مقدماتی فقط معرفی شده‌اند و آموزش تخصصی‌تر آن‌ها در مجموعه‌ی آموزشی پیشرفته انجام می‌شود. بنابراین مربی در سطح مقدماتی تعریف قطعی و کامل ارائه نمی‌دهد؛ آنچه می‌گوید همان چیزی است که در جلسه‌ی ۱۴ آمده — الگوی V یعنی بازگشت کامل قیمت به نقطه‌ی شروع همان حرکت — و بلافاصله اضافه می‌کند که شرح کامل این دو مفهوم در دوره‌ی پیشرفته است. همچنین توجه داشته باشید که واژه‌ی «بریک‌ایون» در ادبیات عمومی معامله‌گری به نقطه‌ی سربه‌سر معامله (سود و زیان صفر) گفته می‌شود؛ مربی این دو کاربرد را از هم جدا نگه می‌دارد و هیچ‌کدام را به‌جای دیگری معرفی نمی‌کند.,guidance,,مالک پروژه,منبع: ACA-CLR-0003
official,سیاست‌های آکادمی,مسیر بک‌تست چیه؟,"این تنها مسیر رسمی آکادمی است و جایگزین همه‌ی روایت‌های دیگری می‌شود که در پاسخ‌های منتورها آمده بود.
۱) همه‌ی ویدیوهای استراتژی‌نویسی را کامل ببینید و نت‌برداری کنید.
۲) دوباره مرور کنید و هم‌زمان تمرین‌ها را انجام دهید.
۳) ۱۰ تا ۱۵ استراتژی طراحی کنید و حداقل یک سال گذشته‌ی بازار را بک‌تست بگیرید. این یک سال به سه بازه‌ی چهارماهه تقسیم می‌شود:
   • چهار ماه نخست — همه‌ی سشن‌ها با همه‌ی استراتژی‌ها؛ استراتژی‌های ضعیف و کم‌بازده‌ترین سشن حذف می‌شوند.
   • چهار ماه دوم — تمرکز بر استراتژی‌ها و سشن‌های برتر؛ حذف دوباره‌ی ضعیف‌ها و انتخاب یک سشن برتر.
   • چهار ماه پایانی — فقط یک سشن و استراتژی‌های موفق؛ افزودن فیلترهای معاملاتی و تعیین حد ضرر متناسب با دیدگاه خودتان.
۴) فایل نهایی شامل استراتژی‌ها، نتایج بک‌تست یک‌ساله و تریدینگ پلن را برای بررسی بفرستید؛ در صورت تأیید، وارد مرحله‌ی فوروارد تست می‌شوید.
قواعد ثبت در اکسل: هر معامله یک ردیف مستقل (تاریخ تکرار می‌شود)؛ اگر استراتژی کمتر از هدف (مثلاً TP2) بدهد در اکسل منفی ۱ ثبت می‌شود؛ و سشنی که ورود در آن انجام شده ثبت می‌شود، نه سشنی که تارگت در آن خورده است.",guidance,,مالک پروژه,منبع: ACA-CLR-0004 | ⚠️ روایت‌های دیگری که ممکن است دانشجو شنیده باشد (سه ماه سپس یک سال؛ ۴+۴+۴ با انتخاب ۵ استراتژی؛ «حداقل ۱۰ مورد بر مبنای چرخه‌ها») خلاصه‌های ناقص همین مسیرند. مربی همیشه همین متن را می‌دهد و اگر دانشجو مسیر دیگری را شروع کرده، او را به منتور ارجاع می‌دهد تا تکلیف کار انجام‌شده روشن شود. | تعارض: CONF-0006
official,اکسپرت SSProX,اکسپرت رو کجا کپی کنم؟,"مسیر نصب برای هر دو نسخه‌ی متاتریدر یکسان است؛ فقط نام پوشه فرق می‌کند: در متاتریدر ۴ پوشه‌ی MQL4 > Experts و در متاتریدر ۵ پوشه‌ی MQL5 > Experts.
پس از کپی کردن فایل، متاتریدر باید یک بار Refresh یا Restart شود تا اکسپرت در پنجره‌ی Navigator دیده شود.

• متاتریدر را باز کنید.
• از منوی File گزینه‌ی Open Data Folder را انتخاب کنید.
• در متاتریدر ۴ وارد پوشه‌ی MQL4 > Experts و در متاتریدر ۵ وارد MQL5 > Experts شوید.
• فایل اکسپرت را داخل همین پوشه کپی کنید.
• متاتریدر را یک بار Refresh یا Restart کنید.
• اکسپرت را از Navigator روی چارت بیندازید.",guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0001
official,اکسپرت SSProX,اکسپرتم نمیاد,اگر فایل در پوشه‌ی درست کپی شده اما اکسپرت در Navigator دیده نمی‌شود، در بیشتر موارد با Refresh یا اجرای مجدد متاتریدر برطرف می‌شود.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0002
official,اکسپرت SSProX,نسخه قبلی رو پاک کنم؟,هنگام نصب نسخه‌ی جدید اکسپرت، بهتر است ابتدا نسخه‌ی قبلی از پوشه‌ی Experts حذف شود تا تداخل ایجاد نشود و به اشتباه نسخه‌ی قدیمی اجرا نگردد.,policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0003
official,اکسپرت SSProX,روی متاتریدر ۵ هم کار می‌کنه؟,اکسپرت روی هر دو نسخه‌ی متاتریدر قابل استفاده است، اما برای هر نسخه فایل جداگانه‌ای ارائه شده است. باید دقیقاً فایل مخصوص همان نسخه نصب شود.,fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0004 | فایل MT4 روی MT5 و برعکس کار نمی‌کند؛ باید فایل متناسب با نسخه نصب شود.
official,اکسپرت SSProX,الگو تریدینگ چیه؟,پس از قرار دادن اکسپرت روی چارت، گزینه‌ی Algo Trading (در متاتریدر ۴: Auto Trading) حتماً باید فعال باشد. اگر این دکمه خاموش یا قرمز باشد، اکسپرت هیچ معامله‌ای باز نمی‌کند. دکمه‌ی سبز/فعال یعنی اکسپرت اجازه‌ی ارسال سفارش دارد.,policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0005
official,اکسپرت SSProX,Launch می‌زنم اتفاقی نمی‌افته,سند رسمی پنج علت را فهرست کرده است. اگر همه‌ی این موارد درست باشد، اکسپرت معامله را باز خواهد کرد.,guidance,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0006
official,اکسپرت SSProX,روی بروکر خودم کار می‌کنه؟,اگر از بروکری غیر از بروکر پیشنهادی آکادمی استفاده می‌کنید، ابتدا باید اکسپرت را روی حساب دموی همان بروکر تست کنید. قوانین حجم معامله، اسپرد و مشخصات نمادها بین بروکرها متفاوت است.,policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0007
official,اکسپرت SSProX,با هر بروکری کار می‌کنه؟,اکسپرت روی بروکرهای مختلف قابل استفاده است، اما رفتار آن به قوانین هر بروکر وابسته است: حداقل حجم، گام افزایش حجم، اسپرد و مشخصات نمادها. به همین دلیل عملکرد باید پیش از استفاده‌ی واقعی روی دموی همان بروکر بررسی شود.,fact,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0008
official,اکسپرت SSProX,اگه ضرر کردم مسئولیتش با کیه؟,مسئولیت استفاده از اکسپرت با آکادمی نیست. اکسپرت فقط ابزاری برای مدیریت سرمایه و اجرای سریع‌تر معاملات است. مسئولیت نهایی مدیریت حساب، انتخاب معاملات و استفاده‌ی صحیح از اکسپرت بر عهده‌ی خود معامله‌گر است.,policy,,آکادمی سبحان صمدی — راهنمای رسمی اکسپرت SSProX نسخه ۱.۳,منبع: ACA-EXP-0009 | اکسپرت تصمیم معاملاتی نمی‌گیرد و سیگنال نمی‌دهد.
