id,term_fa,term_en,definition,domain,authority_level,approval_status
ACA-EQ-0003,تعریف هوش هیجانی در آکادمی,,توانایی کنترل و مدیریت احساسات در لحظات بحرانی — نه در شرایط عادی.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-EQ-0011,تکانه و مهار نفس — نبرد همیشگی انسان,,تکانه = واکنش لحظه‌ای بر اساس خواسته‌ی فعلی؛ مهار نفس = کنترل خود در لحظه‌ی بحرانی بر اساس هدف بلندمدت.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-EQ-0017,تعریف کامل هوش هیجانی (تعریف دوم دوره),,مجموعه‌ای از توانایی‌ها و مهارت‌های غیرشناختی که بر توانایی فرد در کنار آمدن با مشکلات و فشارهای محیطی اثر می‌گذارد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-EXP-0018,Risk Line چیست,,خط تعیین حد ضرر روی چارت که اکسپرت بر اساس آن فاصله‌ی حد ضرر و حجم معامله را خودکار محاسبه می‌کند.,academy,ACADEMY_PRIMARY,APPROVED
ACA-EXP-0021,Pending Line چیست و چرا دو خط نمایش می‌دهد,,ابزار ثبت سفارش شرطی در اکسپرت که با دو خط، محل ورود و محل حد ضرر را می‌گیرد و حجم را خودکار محاسبه می‌کند.,academy,ACADEMY_PRIMARY,APPROVED
ACA-INT-0022,فارکس چیست,,فارکس (Foreign Exchange): بازار مبادله‌ی ارزهای کشورها و بزرگ‌ترین بازار مالی جهان.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0025,جفت‌ارز و رابطه‌ی معکوس دو ارز,,جفت‌ارز: نرخ برابری پول دو کشور؛ رشد یکی به معنی افت دیگری است.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0033,بروکر چیست و چه نقشی دارد,,بروکر: واسطه‌ی اجرای سفارش معامله‌گر در بازار که از کارمزد درآمد دارد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0054,حمایت و مقاومت (ساپورت و رزیستنس),,ساپورت: ناحیه‌ی غلبه‌ی تقاضا. رزیستنس: ناحیه‌ی غلبه‌ی عرضه.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0060,تحلیل فاندامنتال شامل چیست,,تحلیل فاندامنتال: بررسی صورت‌های مالی شرکت‌ها و نرخ‌های اقتصادی (GDP، CPI، PPI، نرخ بهره) به‌همراه اخبار.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0062,سیستم معاملاتی چیست,,سیستم معاملاتی: دیدگاه و چارچوب ذهنی‌ای که بر اساس آن بازار بررسی و جهت قیمت پیش‌بینی می‌شود.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0072,رگوله یعنی چه,,رگوله: نظارت یک نهاد ناظر بر بروکر، با ضمانت اجرای جریمه.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0100,اسپرد از نگاه این درس,,اسپرد: هزینه‌ای که هنگام معامله به بروکر پرداخت می‌شود و بین حساب‌ها متفاوت است.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0120,پیپ: واحد اندازه‌گیری تغییر قیمت,,پیپ: واحد استاندارد اندازه‌گیری تغییر قیمت در بازار فارکس.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0121,پیپت: یک دهم پیپ,,پیپت: یک دهم پیپ.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0125,لات و انواع آن,,لات: واحد حجم معامله؛ یک لات استاندارد = ۱۰۰٬۰۰۰ واحد ارز پایه.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0129,لوریج (اهرم) چیست,,لوریج: اهرم بروکر که قدرت باز کردن حجم بیشتر با سرمایه‌ی کمتر را می‌دهد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0133,کندل‌استیک چیست,,کندل‌استیک: نمایش قیمت به‌صورت شمع، که رفتار بازار در یک بازه‌ی زمانی را نشان می‌دهد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0147,مارکت اردر (Market Order),,مارکت اردر: سفارش خرید یا فروشی که همان لحظه و روی قیمت جاری اجرا می‌شود.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0148,پندینگ اردر (Pending Order): سفارش شرطی,,پندینگ اردر: سفارشی که از پیش ثبت می‌شود و با رسیدن قیمت به سطح تعیین‌شده خودکار فعال می‌شود.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0153,حد ضرر (Stop Loss) در تعریف درس,,حد ضرر: قیمتی که با رسیدن به آن، معامله خودکار و با ضرر محدود بسته می‌شود.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0154,حد سود (Take Profit) در تعریف درس,,حد سود: قیمتی که با رسیدن به آن، معامله خودکار و در سود بسته می‌شود.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0165,بالانس (Balance),,بالانس: موجودی حساب بدون احتساب سود و زیان معاملات باز.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0166,اکویتی (Equity),,اکویتی = بالانس + سود/زیان شناور معاملات باز.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0167,مارجین (Margin),,مارجین: وثیقه‌ی مسدودشده برای نگه داشتن معاملات باز.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0168,فری مارجین (Free Margin),,فری مارجین = اکویتی − مارجین مسدودشده.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0169,مارجین لیول (Margin Level),,مارجین لیول = (اکویتی ÷ مارجین) × ۱۰۰، بر حسب درصد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0177,پرایس اکشن چیست,,پرایس اکشن: تحلیل و معامله بر اساس حرکات خود قیمت و عرضه و تقاضا، بدون اندیکاتور.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0194,پین‌بار (Pin Bar) چیست,,پین‌بار: کندلی با سایه‌ی بلند در یک سو و بدنه‌ی کوچک در سوی دیگر، نشانه‌ی تمایل بازار.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0214,کی بار (Key Bar): کندل تأییدیه,,کی بار: کندل تأییدکننده‌ای که پس از پین‌بار می‌آید و قدرت روند را نشان می‌دهد.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0219,الگوی V (V Pattern),,الگوی V: بازگشت کامل قیمت به نقطه‌ی شروع همان حرکت.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
ACA-INT-0225,تتر (USDT) چیست,,تتر (USDT): استیبل‌کوینی که ارزشش به دلار آمریکا متصل است.,academy,ACADEMY_PRIMARY,PENDING_REVIEW
GEN-DEF-0001,پیپ (Pip),Pip,کوچک‌ترین واحد متعارف تغییر قیمت در جفت‌ارزها. در اغلب جفت‌ارزها پیپ برابر رقم چهارم اعشار (۰.۰۰۰۱) است و در جفت‌ارزهای دارای ین ژاپن برابر رقم دوم اعشار (۰.۰۱).,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0002,پوینت (Point),Point,کوچک‌ترین تغییر ممکن در قیمت بر اساس تعداد ارقام اعشار نماد. در حساب‌های ۵ رقمی، هر پیپ برابر ۱۰ پوینت است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0003,اسپرد (Spread),Spread,اختلاف قیمت خرید (Ask) و قیمت فروش (Bid) یک نماد. اسپرد هزینه‌ی ورود به معامله است و بسته به نماد، زمان بازار و بروکر تغییر می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0004,لات (Lot),Lot,واحد اندازه‌ی معامله. در فارکس یک لات استاندارد معمولاً ۱۰۰٫۰۰۰ واحد ارز پایه است؛ مینی‌لات ۰.۱ و میکرولات ۰.۰۱ لات. اندازه‌ی قرارداد برای هر نماد را بروکر تعیین می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0005,اندازه‌ی قرارداد (Contract Size),Contract Size,تعداد واحدهای دارایی پایه در یک لات از یک نماد مشخص. مقدار آن در مشخصات نماد (Symbol Specification) در پلتفرم قابل مشاهده است و بین بروکرها می‌تواند متفاوت باشد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0006,اهرم (Leverage),Leverage,نسبتی که به معامله‌گر اجازه می‌دهد با سرمایه‌ی کمتر، حجم بزرگ‌تری معامله کند. اهرم مقدار مارجین موردنیاز را تعیین می‌کند؛ اهرم سود و زیان را به یک اندازه بزرگ می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0007,مارجین (Margin),Margin,بخشی از موجودی حساب که هنگام باز کردن معامله به‌عنوان وثیقه قفل می‌شود. مقدار آن به حجم معامله، اهرم و اندازه‌ی قرارداد بستگی دارد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0008,مارجین آزاد و سطح مارجین,Free Margin / Margin Level,مارجین آزاد یعنی پولی که برای باز کردن معامله‌ی جدید در دسترس است (اکوئیتی منهای مارجین استفاده‌شده). سطح مارجین نسبت اکوئیتی به مارجین استفاده‌شده بر حسب درصد است و مبنای هشدار مارجین کال و استاپ‌اوت قرار می‌گیرد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0009,بالانس، اکوئیتی و شناور,Balance / Equity / Floating P&L,بالانس موجودی حساب بدون احتساب معاملات باز است. اکوئیتی برابر بالانس به‌علاوه‌ی سود یا زیان شناور معاملات باز است. با بسته شدن معامله، سود/زیان شناور وارد بالانس می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0010,افت سرمایه (Drawdown),Drawdown,میزان کاهش سرمایه از بالاترین نقطه‌ی رسیده تا پایین‌ترین نقطه‌ی بعدی، معمولاً بر حسب درصد. معیار اصلی سنجش ریسک یک روش معاملاتی است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0011,سواپ (Swap),Swap,بهره‌ی شبانه‌ای که بابت نگه‌داشتن معامله پس از پایان روز معاملاتی به حساب اضافه یا از آن کسر می‌شود. مقدار و زمان محاسبه‌ی آن به بروکر و نماد بستگی دارد و معمولاً در شب چهارشنبه سه‌برابر محاسبه می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0012,کمیسیون (Commission),Commission,هزینه‌ای که بروکر بابت اجرای معامله دریافت می‌کند، معمولاً در حساب‌های با اسپرد پایین. کمیسیون جدا از اسپرد محاسبه می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0013,لغزش قیمت (Slippage),Slippage,اختلاف بین قیمت درخواستی و قیمت اجراشده‌ی معامله. در زمان اخبار مهم، نقدشوندگی پایین یا بازگشایی بازار بیشتر رخ می‌دهد و می‌تواند به نفع یا ضرر معامله‌گر باشد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0014,نقدشوندگی (Liquidity),Liquidity,توانایی بازار برای جذب سفارش بدون تغییر شدید قیمت. نقدشوندگی در ساعات همپوشانی سشن‌های بزرگ بیشتر و در ساعات پایانی هفته و تعطیلات کمتر است.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0015,نوسان (Volatility),Volatility,میزان و سرعت تغییرات قیمت در یک بازه‌ی زمانی. نوسان بالا هم فرصت و هم ریسک را افزایش می‌دهد و بر فاصله‌ی مناسب حد ضرر اثر می‌گذارد.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0016,نسبت ریسک به ریوارد,Risk/Reward Ratio,نسبت میزان ریسک یک معامله (فاصله تا حد ضرر) به میزان سود هدف (فاصله تا حد سود). این نسبت در کنار درصد برد، سودآوری بلندمدت یک روش را تعیین می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0017,تعیین حجم معامله (Position Sizing),Position Sizing,محاسبه‌ی حجم معامله بر اساس درصد ریسک مجاز از سرمایه و فاصله‌ی حد ضرر، به‌طوری که زیان یک معامله از مقدار ازپیش‌تعیین‌شده بیشتر نشود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0018,حد ضرر (Stop Loss),Stop Loss,سفارشی که معامله را در قیمت مشخصی می‌بندد تا زیان محدود شود. حد ضرر بخش جدانشدنی مدیریت ریسک است و باید پیش از ورود مشخص شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0019,حد سود (Take Profit),Take Profit,سفارشی که معامله را در قیمت هدف می‌بندد و سود را قطعی می‌کند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0020,سفارش بازار و سفارش معلق,Market Order / Pending Order,سفارش بازار بلافاصله با بهترین قیمت موجود اجرا می‌شود. سفارش معلق (Buy/Sell Limit و Buy/Sell Stop) در قیمت ازپیش‌تعیین‌شده فعال می‌شود: Limit برای ورود در قیمت بهتر از قیمت فعلی و Stop برای ورود پس از عبور قیمت از یک سطح.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0021,سشن‌های معاملاتی,Trading Sessions,بازار فارکس در سه سشن اصلی آسیا، لندن و نیویورک فعال است. بیشترین حجم و نوسان معمولاً در همپوشانی لندن و نیویورک رخ می‌دهد. ساعت‌ها بر اساس منطقه‌ی زمانی سرور بروکر نمایش داده می‌شوند.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
GEN-DEF-0022,تقویم اقتصادی و اخبار,Economic Calendar / News,تقویم اقتصادی زمان انتشار داده‌های مهم اقتصادی را نشان می‌دهد. در زمان اخبار پرتأثیر، اسپرد افزایش و نقدشوندگی کاهش می‌یابد و احتمال لغزش قیمت بیشتر می‌شود.,general_trading,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0001,Bid و Ask در متاتریدر,,Bid: قیمت فروش شما. Ask: قیمت خرید شما. اختلاف این دو، اسپرد است.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0002,اسپرد در متاتریدر و نمایش آن,,اسپرد = Ask − Bid، بر حسب پوینت.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0003,پوینت، دیجیت و نحوه‌ی نمایش قیمت,,پوینت = کوچک‌ترین تغییر رقم آخر قیمت؛ پیپ = ۱۰ پوینت در نمادهای ۵ رقمی.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0004,Tick Size و Tick Value,,Tick Size: کوچک‌ترین گام قیمت. Tick Value: ارزش پولی یک تیک برای یک لات.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
MT-CONC-0005,اندازه‌ی قرارداد و محدودیت‌های حجم,,Contract Size، Volume Min/Max/Step: پارامترهای حجم که بروکر برای هر نماد تعیین می‌کند.,metatrader,GENERAL_KNOWLEDGE,PENDING_VERIFICATION
