ردیف,بخش,شناسه,پرسیده‌شده,پلتفرم,نوع,عنوان,متن,تأیید (تأیید/اصلاح/حذف),توضیح شما
1,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0001,سقف ضرر روزانه یعنی چی؟,هر دو,عیب‌یابی,خطای Invalid S/L or T/P هنگام ثبت سفارش,"خطای «Invalid S/L or T/P» یعنی حد ضرر یا حد سود واردشده از نظر پلتفرم یا بروکر معتبر نیست. شایع‌ترین علت‌ها: قرار دادن حد ضرر در سمت اشتباه قیمت، نزدیک‌تر بودن آن از حداقل فاصله‌ی مجاز (Stops Level) و اشتباه در تعداد ارقام اعشار قیمت.

نشانه‌ها:
- پیام Invalid S/L or T/P هنگام ثبت یا ویرایش سفارش
- سفارش ثبت نمی‌شود

علت‌ها:
- حد ضرر یا حد سود در سمت اشتباه قیمت قرار گرفته است.
- فاصله‌ی SL/TP از قیمت کمتر از Stops Level بروکر است.
- قیمت با ارقام اعشار اشتباه وارد شده است.
- نماد در حالت Freeze Level است و ویرایش موقتاً مجاز نیست.

راه‌حل‌ها:
- مشخصات نماد (Specification) را باز کنید و مقدار Stops Level را ببینید.
- SL/TP را با فاصله‌ی بیشتر از حداقل مجاز وارد کنید.
- درست بودن سمت SL/TP نسبت به نوع معامله (خرید یا فروش) را بررسی کنید.
- در صورت ادامه‌ی خطا، مقدار دقیق Stops Level را از پشتیبانی بروکر بپرسید.",,
2,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0002,جمعه معامله کنم؟,هر دو,عیب‌یابی,خطای Market closed,"پیام «Market closed» یعنی نماد در آن لحظه خارج از ساعات معاملاتی خود است. ساعات معاملاتی هر نماد در پنجره‌ی Specification و بر اساس ساعت سرور بروکر تعریف شده است، نه ساعت محلی.

نشانه‌ها:
- پیام Market closed هنگام ثبت سفارش

علت‌ها:
- نماد خارج از ساعات معاملاتی است (آخر هفته، تعطیلات یا وقفه‌ی روزانه).
- ساعت سرور بروکر با ساعت محلی متفاوت است.

راه‌حل‌ها:
- ساعات معاملاتی نماد را در Specification بررسی کنید.
- ساعت سرور را از ستون زمان در Market Watch ببینید.
- برای نمادهای دارای وقفه‌ی روزانه (مثل شاخص‌ها و فلزات)، زمان وقفه را در نظر بگیرید.",,
3,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0004,خلاف روند معامله کنم؟,هر دو,عیب‌یابی,خطای Trade is disabled / معامله غیرفعال است,"پیام «Trade is disabled» یعنی امکان معامله روی حساب یا نماد غیرفعال است. این وضعیت سمت بروکر یا به دلیل ورود با رمز Investor رخ می‌دهد و با تنظیمات پلتفرم قابل حل نیست.

نشانه‌ها:
- پیام Trade is disabled
- دکمه‌های خرید و فروش غیرفعال هستند

علت‌ها:
- ورود با رمز Investor به‌جای رمز اصلی.
- غیرفعال بودن معامله روی حساب از سمت بروکر.
- نماد در حالت Close Only یا فقط مشاهده قرار دارد.

راه‌حل‌ها:
- با رمز اصلی (Master) دوباره وارد شوید.
- وضعیت نماد را در Specification بررسی کنید.
- در صورت ادامه، با پشتیبانی بروکر تماس بگیرید.",,
4,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0005,سقف ضرر روزانه یعنی چی؟,هر دو,عیب‌یابی,خطای No connection / قطع اتصال به سرور,"نمایش «No connection» یا «Invalid account» در نوار وضعیت یعنی ترمینال به سرور بروکر وصل نیست. پیش از هر کاری باید مشخص شود مشکل از اینترنت است یا از اطلاعات ورود.

نشانه‌ها:
- نمایش No connection در گوشه‌ی پایین-راست
- قیمت‌ها به‌روزرسانی نمی‌شوند

علت‌ها:
- قطع بودن اینترنت یا محدودیت شبکه.
- اشتباه بودن سرور یا اطلاعات حساب.
- بسته شدن حساب یا تغییر سرور توسط بروکر.

راه‌حل‌ها:
- اتصال اینترنت را بررسی کنید.
- دوباره با سرور و اطلاعات صحیح Login کنید.
- تب Journal را برای دیدن پیام دقیق خطا باز کنید.
- در صورت ادامه، سرور جایگزین را از بروکر بگیرید.",,
5,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0006,آربیتراژ یعنی چی؟,هر دو,عیب‌یابی,خطای Off quotes یا ریکوت مکرر,"پیام «Off quotes» یعنی سرور نمی‌تواند سفارش را با قیمت درخواستی اجرا کند. این وضعیت بیشتر در حساب‌های Instant Execution، هنگام اخبار پرتأثیر یا در نمادهای کم‌نقدشونده رخ می‌دهد.

نشانه‌ها:
- پیام Off quotes
- پنجره‌ی ریکوت و درخواست تأیید قیمت جدید

علت‌ها:
- نوسان شدید قیمت در لحظه‌ی ثبت سفارش.
- انحراف مجاز (Deviation) بسیار کم تنظیم شده است.
- نقدشوندگی پایین نماد در آن ساعت.

راه‌حل‌ها:
- مقدار Deviation را در تنظیمات سفارش کمی افزایش دهید.
- در زمان انتشار اخبار مهم از ثبت سفارش بازار خودداری کنید.
- در صورت تکرار، نوع اجرای حساب را از بروکر بپرسید.",,
6,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0010,معامله باز نمی‌شه,هر دو,عیب‌یابی,اکسپرت اجرا نمی‌شود یا معامله باز نمی‌کند,"وقتی اکسپرت روی چارت است اما کاری نمی‌کند، معمولاً معامله‌ی خودکار غیرفعال است یا اکسپرت اجازه یا شرایط لازم را ندارد. علامت کنار نام اکسپرت در گوشه‌ی چارت وضعیت را نشان می‌دهد.

نشانه‌ها:
- علامت توقف یا صورتک ناراحت کنار نام اکسپرت
- اکسپرت روی چارت هست ولی هیچ معامله‌ای باز نمی‌شود

علت‌ها:
- دکمه‌ی Algo Trading (در متاتریدر ۴: AutoTrading) در نوار ابزار غیرفعال است.
- گزینه‌ی اجازه‌ی معامله در تنظیمات خود اکسپرت تیک نخورده است.
- اکسپرت به DLL یا کتابخانه‌ی خارجی نیاز دارد که اجازه‌اش داده نشده.
- شرایط ورود اکسپرت هنوز برقرار نشده است.
- نام نماد یا تایم‌فریم با تنظیمات اکسپرت هم‌خوان نیست.

راه‌حل‌ها:
- دکمه‌ی Algo Trading را فعال کنید و در Tools > Options > Experts گزینه‌ی Allow algorithmic trading را تیک بزنید.
- اکسپرت را برداشته و دوباره روی چارت بیندازید و گزینه‌ی اجازه‌ی معامله را تیک بزنید.
- تب Experts و Journal را برای دیدن پیام دقیق خطا بررسی کنید.
- نام نماد و تایم‌فریم موردنیاز اکسپرت را با چارت تطبیق دهید.",,
7,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0012,آربیتراژ یعنی چی؟,هر دو,عیب‌یابی,چارت خالی یا داده‌ی تاریخی ناقص,"پیام «Waiting for update» یا چارتی که فقط چند کندل دارد، یعنی داده‌ی تاریخی نماد کامل دریافت نشده است. در متاتریدر ۴ این وضعیت شایع‌تر است، چون داده به‌صورت خودکار و کامل دانلود نمی‌شود.

نشانه‌ها:
- نمایش Waiting for update روی چارت
- چارت فقط بازه‌ی کوتاهی از گذشته را نشان می‌دهد

علت‌ها:
- داده‌ی تاریخی نماد هنوز دانلود نشده است.
- مقدار Max bars in chart یا Max bars in history کم تنظیم شده است.
- بروکر داده‌ی تاریخی محدودی برای آن نماد ارائه می‌دهد.

راه‌حل‌ها:
- در Tools > Options > Charts مقدار Max bars را افزایش دهید و پلتفرم را ری‌استارت کنید.
- در متاتریدر ۴ از History Center داده را دانلود کنید (F2).
- در متاتریدر ۵ از پنجره‌ی Symbols و تب Bars داده را درخواست کنید.
- چارت را با اسکرول به عقب ببرید تا دریافت داده آغاز شود.",,
8,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0014,آربیتراژ یعنی چی؟,فقط متاتریدر ۴,عیب‌یابی,خطای Trade context is busy در متاتریدر ۴,"پیام «Trade context is busy» مخصوص متاتریدر ۴ است و یعنی یک عملیات معاملاتی دیگر در حال اجراست و درخواست جدید نمی‌تواند همزمان پردازش شود. معمولاً وقتی چند اکسپرت همزمان روی یک حساب کار می‌کنند رخ می‌دهد.

نشانه‌ها:
- پیام Trade context is busy در تب Experts
- سفارش اکسپرت ثبت نمی‌شود

علت‌ها:
- اجرای همزمان چند اکسپرت روی یک حساب.
- کند بودن پاسخ سرور در لحظه‌ی ثبت سفارش.

راه‌حل‌ها:
- تعداد اکسپرت‌های فعال روی حساب را کم کنید.
- در کد اکسپرت از مکانیزم انتظار و تلاش مجدد استفاده شود.
- در صورت تکرار زیاد، اجرای اکسپرت را روی VPS با تأخیر کمتر بررسی کنید.",,
9,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0007,,هر دو,عیب‌یابی,نماد پیدا نمی‌شود یا نام آن متفاوت است,"اگر نمادی در Market Watch نیست، معمولاً یا پنهان است یا نام آن در بروکر شما پسوند دارد. نبود نماد در فهرست به معنای نداشتن آن نماد توسط بروکر نیست.

نشانه‌ها:
- نماد در Market Watch دیده نمی‌شود
- اکسپرت پیغام می‌دهد نماد پیدا نشد

علت‌ها:
- نماد در Market Watch پنهان است.
- نام نماد در بروکر پسوند دارد (مثلاً EURUSD.m).
- نماد فقط برای نوع حساب دیگری فعال است.

راه‌حل‌ها:
- پنجره‌ی Symbols را باز کنید (Ctrl+U) و نماد را جست‌وجو و Show کنید.
- نام دقیق نماد را از فهرست بروکر بردارید و در تنظیمات اکسپرت وارد کنید.
- در صورت نبودن نماد، فعال بودن آن روی نوع حساب خود را از بروکر بپرسید.",,
10,عیب‌یابی خطاهای رایج متاتریدر,MT-TRBL-0013,,هر دو,عیب‌یابی,اختلاف ساعت پلتفرم با ساعت محلی و کندل روزانه,"زمان چارت همیشه زمان سرور بروکر است. به همین دلیل شروع کندل روزانه، زمان بسته شدن هفته و ساعت اخبار می‌تواند با ساعت محلی چند ساعت اختلاف داشته باشد. این یک خطا نیست و قابل تغییر هم نیست.

نشانه‌ها:
- ساعت متاتریدر با ساعت کامپیوتر فرق دارد
- کندل روزانه در ساعتی غیر از نیمه‌شب محلی باز می‌شود

علت‌ها:
- منطقه‌ی زمانی سرور بروکر با منطقه‌ی زمانی شما متفاوت است.
- برخی بروکرها ساعت تابستانی را اعمال می‌کنند.

راه‌حل‌ها:
- زمان سرور را از ستون Time در Market Watch ببینید و اختلاف را یادداشت کنید.
- برای تحلیل سشن‌ها، همیشه بر مبنای زمان سرور محاسبه کنید.
- در صورت نیاز به زمان محلی، از اندیکاتورهای نمایش‌دهنده‌ی ساعت استفاده کنید.",,
