id,title,domain,object_type,authority_level,approval_status,lifecycle_status,platform_scope,confidence,verification_required,source_ref,source_location,keywords,collection_file
ACA-CAT-0001,پادکست: روانشناسی معامله‌گری موفق,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[0] (id=p1),پادکست|روانشناسی|روانشناسی معامله‌گری موفق,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0002,پادکست: تحلیل تکنیکال پیشرفته,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[1] (id=p2),پادکست|تحلیل|تحلیل تکنیکال پیشرفته,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0003,پادکست: مدیریت سرمایه و ریسک,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[2] (id=p3),پادکست|معامله‌گری|مدیریت سرمایه و ریسک,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0004,پادکست: اشتباهات رایج معامله‌گران,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[3] (id=p4),پادکست|معامله‌گری|اشتباهات رایج معامله‌گران,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0005,پادکست: استراتژی پرایس اکشن,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[4] (id=p5),پادکست|تحلیل|استراتژی پرایس اکشن,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0006,پادکست: فارکس یا کریپتو؟,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.podcasts[5] (id=p6),پادکست|معامله‌گری|فارکس یا کریپتو؟,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0101,کتاب صوتی: معامله‌گر منضبط,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[0] (id=b1),کتاب صوتی|معامله‌گر منضبط|مارک داگلاس,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0102,کتاب صوتی: جادوگران بازار,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[1] (id=b2),کتاب صوتی|جادوگران بازار|جک شواگر,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0103,کتاب صوتی: تحلیل تکنیکال,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[2] (id=b3),کتاب صوتی|تحلیل تکنیکال|جان مورفی,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0104,کتاب صوتی: ذهن پول‌ساز,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[3] (id=b4),کتاب صوتی|ذهن پول‌ساز|ناپلئون هیل,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0105,کتاب صوتی: سرمایه‌گذار هوشمند,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[4] (id=b5),کتاب صوتی|سرمایه‌گذار هوشمند|بنجامین گراهام,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CAT-0106,کتاب صوتی: بازی برتر,academy,CATALOG_ITEM,ACADEMY_DERIVED,PENDING_REVIEW,PENDING_REVIEW,,0.6,True,js/data.js,window.SSAData.books[5] (id=b6),کتاب صوتی|بازی برتر|سبحان صمدی,knowledge_base/academy/catalog/academy_site_catalog.json
ACA-CLR-0001,آیا برای کار در فارکس فیلترشکن لازم است؟,academy,OPERATIONAL_FACT,ACADEMY_DERIVED,APPROVED,ACTIVE,BOTH,1.0,,MENTORAI_KB_DECISIONS.md,D-0003,فیلترشکن|VPN|سایت بروکر|اتصال متاتریدر|IP ثابت,knowledge_base/academy/operations/clarifications.json
ACA-INT-0001,دوره‌ی مقدماتی رایگان است و هدیه‌ی آکادمی است,academy,OPERATIONAL_FACT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.95,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۱ و ۶,دوره مقدماتی|رایگان|هدیه|هزینه,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0002,سرفصل‌های دوره‌ی مقدماتی,academy,CATALOG_ITEM,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.85,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۱۳ تا ۲۰,سرفصل|ویدیو|دوره مقدماتی|پین بار|ترند,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0003,مسیر پیشنهادی تماشای دوره بر اساس سطح دانشجو,academy,RULE,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.9,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۱۳,از کجا شروع کنم|ترتیب ویدیو|سطح دانشجو,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0004,هدف آکادمی: ساختن تریدر، نه تحلیلگر,academy,CONCEPT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.95,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۵ و ۶,تریدر|تحلیلگر|هدف دوره,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0005,سبک آکادمی: پرایس اکشن تکنیکال (معامله‌گری حرکات قیمت),academy,CONCEPT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.9,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۵ و ۶,پرایس اکشن|سبک|متدولوژی,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0006,سه اصل ساختار بازار: اسپایک، کانال قیمتی، تریدینگ رنج,academy,CONCEPT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.85,False,raw_sources/academy/intro/intro_lesson_01.md,بخش ۲۱,اسپایک|کانال قیمتی|تریدینگ رنج|مارکت سایکل,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0007,سه اصل نگاه به بازار (بیان دوم در همین جلسه),academy,CONCEPT,ACADEMY_PRIMARY,REVIEW_REQUIRED,PENDING_REVIEW,NOT_APPLICABLE,0.6,True,raw_sources/academy/intro/intro_lesson_01.md,بخش ۷,سه اصل|نقدینگی|سایکل,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0008,علت حرکت قیمت: همه‌چیز از خود قیمت و نقدینگی,academy,CONCEPT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.8,True,raw_sources/academy/intro/intro_lesson_01.md,بخش ۱۵,علت حرکت قیمت|نقدینگی,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0009,«دسته پنجم»: همسو شدن با نقدینگی و پول‌های سنگین,academy,CONCEPT,ACADEMY_PRIMARY,REVIEW_REQUIRED,PENDING_REVIEW,NOT_APPLICABLE,0.6,True,raw_sources/academy/intro/intro_lesson_01.md,بخش ۸,دسته پنجم|نقدینگی|پول هوشمند,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0010,رفتار متفاوت پول‌های سنگین در تریدینگ رنج,academy,CONCEPT,ACADEMY_PRIMARY,REVIEW_REQUIRED,PENDING_REVIEW,NOT_APPLICABLE,0.55,True,raw_sources/academy/intro/intro_lesson_01.md,بخش ۷,پول سنگین|تریدینگ رنج|ارزش و تقاضا,knowledge_base/academy/intro/lesson_01.json
ACA-INT-0011,استراتژی‌نویسی بر پایه‌ی چهار اصل,academy,CONCEPT,ACADEMY_PRIMARY,PENDING_REVIEW,PENDING_REVIEW,NOT_APPLICABLE,0.75,True,raw_sources/academy/intro/intro_lesson_01.md,بخش ۲۳,استراتژی‌نویسی|چهار اصل,knowledge_base/academy/intro/lesson_01.json
